siteNo,date,discharge
basin0,1982-10-08,54.4861120106
basin0,1982-10-09,50.901350503
basin0,1982-10-10,49.5016351402
basin0,1982-10-11,46.3568514919
basin0,1982-10-12,43.4504321485
basin0,1982-10-13,41.6302777742
basin0,1982-10-14,66.3375867865
basin0,1982-10-15,46.0589393293
basin0,1982-10-16,45.2843761791
basin0,1982-10-17,45.7779625261
basin0,1982-10-18,42.8167459454
basin0,1982-10-19,39.7048195152
basin0,1982-10-20,37.1883757914
basin0,1982-10-21,40.9286932911
basin0,1982-10-22,38.0086310288
basin0,1982-10-23,35.6450551551
basin0,1982-10-24,33.5560768516
basin0,1982-10-25,31.7192642253
basin0,1982-10-26,30.2682298243
basin0,1982-10-27,29.0512782413
basin0,1982-10-28,27.6841374922
basin0,1982-10-29,26.3909786305
basin0,1982-10-30,25.1861139487
basin0,1982-10-31,23.6574252251
basin0,1982-11-01,23.2766379178
basin0,1982-11-02,22.8133748564
basin0,1982-11-03,21.8956553059
basin0,1982-11-04,20.9736837947
basin0,1982-11-05,680.403826969
basin0,1982-11-06,130.430662125
basin0,1982-11-07,130.011544624
basin0,1982-11-08,111.346190775
basin0,1982-11-09,97.4609557545
basin0,1982-11-10,87.0669007606
basin0,1982-11-11,78.5032326442
basin0,1982-11-12,94.9599878779
basin0,1982-11-13,372.918213151
basin0,1982-11-14,523.110311216
basin0,1982-11-15,359.824760315
basin0,1982-11-16,250.083987585
basin0,1982-11-17,192.874953148
basin0,1982-11-18,157.102673292
basin0,1982-11-19,132.533346628
basin0,1982-11-20,114.48552604
basin0,1982-11-21,101.593391376
basin0,1982-11-22,119.669688366
basin0,1982-11-23,302.941406985
basin0,1982-11-24,465.062967652
basin0,1982-11-25,488.358702666
basin0,1982-11-26,318.191301815
basin0,1982-11-27,263.219410579
basin0,1982-11-28,268.063535164
basin0,1982-11-29,384.228524973
basin0,1982-11-30,393.327069504
basin0,1982-12-01,273.192610992
basin0,1982-12-02,206.133997733
basin0,1982-12-03,165.739909761
basin0,1982-12-04,138.926728481
basin0,1982-12-05,118.956298866
basin0,1982-12-06,99.9650483535
basin0,1982-12-07,93.9779080742
basin0,1982-12-08,84.3202251104
basin0,1982-12-09,76.2599420625
basin0,1982-12-10,69.8027347567
basin0,1982-12-11,61.8526854704
basin0,1982-12-12,57.4038569251
basin0,1982-12-13,53.4725868717
basin0,1982-12-14,49.9795114657
basin0,1982-12-15,48.1804437062
basin0,1982-12-16,154.05364728
basin0,1982-12-17,517.72916334
basin0,1982-12-18,393.591132919
basin0,1982-12-19,272.281863291
basin0,1982-12-20,187.48999689
basin0,1982-12-21,156.517319051
basin0,1982-12-22,134.238067837
basin0,1982-12-23,117.217356221
basin0,1982-12-24,133.825004607
basin0,1982-12-25,169.194110946
basin0,1982-12-26,300.133682111
basin0,1982-12-27,264.829298174
basin0,1982-12-28,242.35948703
basin0,1982-12-29,221.427509748
basin0,1982-12-30,202.702363651
basin0,1982-12-31,164.643281561
basin0,1983-01-01,168.261617447
basin0,1983-01-02,148.74120991
basin0,1983-01-03,133.943609308
basin0,1983-01-04,122.543017296
basin0,1983-01-05,113.215592245
basin0,1983-01-06,102.434774327
basin0,1983-01-07,96.5931523591
basin0,1983-01-08,93.7552313536
basin0,1983-01-09,86.9594092113
basin0,1983-01-10,83.1079909
basin0,1983-01-11,234.627551124
basin0,1983-01-12,314.510580166
basin0,1983-01-13,301.567271947
basin0,1983-01-14,221.58459497
basin0,1983-01-15,189.114132059
basin0,1983-01-16,165.768431716
basin0,1983-01-17,148.188471947
basin0,1983-01-18,134.441230553
basin0,1983-01-19,123.412822316
basin0,1983-01-20,114.331426296
basin0,1983-01-21,106.74553244
basin0,1983-01-22,103.053664784
basin0,1983-01-23,178.445279493
basin0,1983-01-24,1039.80546626
basin0,1983-01-25,771.764279908
basin0,1983-01-26,560.521002171
basin0,1983-01-27,305.2586348
basin0,1983-01-28,243.94993986
basin0,1983-01-29,220.519311858
basin0,1983-01-30,175.928303591
basin0,1983-01-31,157.049558591
basin0,1983-02-01,148.142549622
basin0,1983-02-02,129.662520941
basin0,1983-02-03,1126.60387216
basin0,1983-02-04,1010.53413647
basin0,1983-02-05,628.039745686
basin0,1983-02-06,404.686728489
basin0,1983-02-07,301.477763623
basin0,1983-02-08,242.392966257
basin0,1983-02-09,204.072674608
basin0,1983-02-10,177.382372571
basin0,1983-02-11,157.463175716
basin0,1983-02-12,142.041221216
basin0,1983-02-13,129.784998973
basin0,1983-02-14,121.485157988
basin0,1983-02-15,117.494361119
basin0,1983-02-16,114.297197843
basin0,1983-02-17,104.953660921
basin0,1983-02-18,102.782138762
basin0,1983-02-19,102.025144132
basin0,1983-02-20,101.883146826
basin0,1983-02-21,102.369157617
basin0,1983-02-22,104.74755228
